thinking_mode,agent_id,agent_label,probe_name,probe_label,layer,n_predictions,n_trajectories,n_match_groups,pooled_auroc,mean_fold_auroc,fold_auroc_sd,fold_auroc_min,fold_auroc_max,brier,ece_10_bin
on,planner_1,Planner,lat_contrast_pair_pca,LAT,8,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,16,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,24,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,32,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,40,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,48,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,56,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,63,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,0,36,36,9,0.5339506172839507,0.6111111111111112,0.29133579115837543,0.25,1.0,0.4669155542644817,0.4692771531425399
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,8,36,36,9,0.5524691358024691,0.6944444444444444,0.30681558381075724,0.0,1.0,0.38198421852314945,0.37906022396221284
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.5679012345679012,0.7222222222222222,0.3424674446093876,0.0,1.0,0.3741404939586349,0.38262867748181906
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,24,36,36,9,0.7469135802469136,1.0,0.0,1.0,1.0,0.23761057340619463,0.2178020364254729
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.6450617283950617,0.9722222222222222,0.07856742013183861,0.75,1.0,0.38941913195366623,0.40001958804530263
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.6666666666666666,0.8333333333333334,0.26352313834736496,0.25,1.0,0.3482103554467283,0.3711370716307818
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.654320987654321,0.7777777777777778,0.32155102507750627,0.0,1.0,0.28013404427159916,0.2897705343455519
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,56,36,36,9,0.6018518518518519,0.6111111111111112,0.4581228472908512,0.0,1.0,0.34828856971587424,0.3630852129554139
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,63,36,36,9,0.6018518518518519,0.75,0.37267799624996495,0.0,1.0,0.3697516494107618,0.3726328132332226
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,0,36,36,9,0.6111111111111112,0.7222222222222222,0.24845199749997662,0.25,1.0,0.2511273335713464,0.13739031859305573
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,8,36,36,9,0.5555555555555556,0.7222222222222222,0.32155102507750627,0.0,1.0,0.25862093816173565,0.09265674567023685
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,16,36,36,9,0.49691358024691357,0.5833333333333334,0.31180478223116176,0.0,1.0,0.27991384374580963,0.1885285837134481
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,24,36,36,9,0.5802469135802469,0.8888888888888888,0.20786985482077452,0.5,1.0,0.2802144224667117,0.2324361582860751
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,32,36,36,9,0.6450617283950617,0.75,0.37267799624996495,0.0,1.0,0.26252497714347534,0.29994201721453817
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,40,36,36,9,0.6080246913580247,0.7777777777777778,0.41573970964154905,0.0,1.0,0.2557255802567541,0.18893080710866517
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,48,36,36,9,0.6882716049382716,0.6388888888888888,0.4581228472908512,0.0,1.0,0.21627477150647095,0.1514713614115384
